"","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput","workerid"
"128","distribution",1,"Frog","training","2","c(2, 2, 2)","fruits","clothes","instruments","dress","apple","flute","dress","dress","item_l","clothes",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"129","distribution",1,"Frog","training","3","c(2, 2, 2)","fruits","clothes","instruments","orange","jacket","trumpet","orange","orange","item_l","fruits",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"130","distribution",1,"Frog","training","4","c(2, 2, 2)","fruits","clothes","instruments","grapes","skirt","xylophone","skirt","skirt","item_m","clothes",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"131","distribution",1,"Frog","training","5","c(2, 2, 2)","fruits","clothes","instruments","shoes","banana","piano","piano","piano","item_r","instruments",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"132","distribution",1,"Frog","training","6","c(2, 2, 2)","fruits","clothes","instruments","shirt","drum","melon","drum","drum","item_m","instruments",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"133","distribution",1,"Frog","test","choice","c(2, 2, 2)","fruits","clothes","instruments","pants","pineapple","guitar",NA,"guitar","item_r","instruments",NA,0,0,1,"instruments",1,"b694920e9cee57a5cb98d93d636ad626"
"134","distribution",2,"Mouse","training","1","c(4, 2, 0)","clothes","instruments","vehicles","car","socks","piano","socks","socks","item_m","clothes",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"135","distribution",2,"Mouse","training","2","c(4, 2, 0)","clothes","instruments","vehicles","shirt","flute","airplane","shirt","shirt","item_l","clothes",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"136","distribution",2,"Mouse","training","3","c(4, 2, 0)","clothes","instruments","vehicles","violin","dress","boat","dress","dress","item_m","clothes",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"137","distribution",2,"Mouse","training","4","c(4, 2, 0)","clothes","instruments","vehicles","drum","truck","pants","pants","pants","item_r","clothes",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"138","distribution",2,"Mouse","training","5","c(4, 2, 0)","clothes","instruments","vehicles","jacket","motorbike","xylophone","xylophone","xylophone","item_r","instruments",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"139","distribution",2,"Mouse","training","6","c(4, 2, 0)","clothes","instruments","vehicles","train","skirt","guitar","guitar","guitar","item_r","instruments",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"140","distribution",2,"Mouse","test","choice","c(4, 2, 0)","clothes","instruments","vehicles","bus","shoes","trumpet",NA,"trumpet","item_r","instruments",NA,0,1,0,"instruments",1,"b694920e9cee57a5cb98d93d636ad626"
"141","distribution",3,"Tiger","training","1","c(4, 2, 0)","instruments","vehicles","mammals","car","flute","cow","flute","flute","item_m","instruments",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"142","distribution",3,"Tiger","training","2","c(4, 2, 0)","instruments","vehicles","mammals","dog","train","drum","train","train","item_m","vehicles",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"143","distribution",3,"Tiger","training","3","c(4, 2, 0)","instruments","vehicles","mammals","truck","piano","bear","piano","piano","item_m","instruments",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"144","distribution",3,"Tiger","training","4","c(4, 2, 0)","instruments","vehicles","mammals","horse","motorbike","guitar","guitar","guitar","item_r","instruments",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"145","distribution",3,"Tiger","training","5","c(4, 2, 0)","instruments","vehicles","mammals","xylophone","bus","cat","bus","bus","item_m","vehicles",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"146","distribution",3,"Tiger","training","6","c(4, 2, 0)","instruments","vehicles","mammals","violin","boat","monkey","violin","violin","item_l","instruments",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"147","distribution",3,"Tiger","test","choice","c(4, 2, 0)","instruments","vehicles","mammals","trumpet","elephant","airplane",NA,"trumpet","item_l","instruments",NA,1,0,0,"instruments",1,"b694920e9cee57a5cb98d93d636ad626"
"148","distribution",4,"Cat","training","1","c(6, 0, 0)","vehicles","mammals","furniture","chair","car","bear","car","car","item_m","vehicles",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"149","distribution",4,"Cat","training","2","c(6, 0, 0)","vehicles","mammals","furniture","cat","closet","airplane","airplane","airplane","item_r","vehicles",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"150","distribution",4,"Cat","training","3","c(6, 0, 0)","vehicles","mammals","furniture","lamp","elephant","boat","boat","boat","item_r","vehicles",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"151","distribution",4,"Cat","training","4","c(6, 0, 0)","vehicles","mammals","furniture","drawer","horse","bus","bus","bus","item_r","vehicles",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"152","distribution",4,"Cat","training","5","c(6, 0, 0)","vehicles","mammals","furniture","train","stool","monkey","train","train","item_l","vehicles",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"153","distribution",4,"Cat","training","6","c(6, 0, 0)","vehicles","mammals","furniture","sofa","motorbike","cow","motorbike","motorbike","item_m","vehicles",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"154","distribution",4,"Cat","test","choice","c(6, 0, 0)","vehicles","mammals","furniture","truck","bed","dog",NA,"truck","item_l","vehicles",NA,1,0,0,"vehicles",1,"b694920e9cee57a5cb98d93d636ad626"
"155","distribution",5,"Bear","training","1","c(6, 0, 0)","mammals","furniture","fruits","elephant","grapes","sofa","elephant","elephant","item_l","mammals",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"156","distribution",5,"Bear","training","2","c(6, 0, 0)","mammals","furniture","fruits","apple","dog","chair","dog","dog","item_m","mammals",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"157","distribution",5,"Bear","training","3","c(6, 0, 0)","mammals","furniture","fruits","monkey","drawer","pineapple","monkey","monkey","item_l","mammals",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"158","distribution",5,"Bear","training","4","c(6, 0, 0)","mammals","furniture","fruits","closet","cow","strawberry","cow","cow","item_m","mammals",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"159","distribution",5,"Bear","training","5","c(6, 0, 0)","mammals","furniture","fruits","bed","orange","bear","bear","bear","item_r","mammals",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"160","distribution",5,"Bear","training","6","c(6, 0, 0)","mammals","furniture","fruits","horse","lamp","banana","horse","horse","item_l","mammals",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"161","distribution",5,"Bear","test","choice","c(6, 0, 0)","mammals","furniture","fruits","melon","table","cat",NA,"cat","item_r","mammals",NA,1,0,0,"mammals",1,"b694920e9cee57a5cb98d93d636ad626"
"162","distribution",6,"Beaver","training","1","c(2, 2, 2)","furniture","fruits","clothes","dress","drawer","melon","melon","melon","item_r","fruits",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"163","distribution",6,"Beaver","training","2","c(2, 2, 2)","furniture","fruits","clothes","jacket","pineapple","chair","chair","chair","item_r","furniture",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"164","distribution",6,"Beaver","training","3","c(2, 2, 2)","furniture","fruits","clothes","strawberry","sofa","pants","pants","pants","item_r","clothes",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"165","distribution",6,"Beaver","training","4","c(2, 2, 2)","furniture","fruits","clothes","stool","orange","shoes","stool","stool","item_l","furniture",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"166","distribution",6,"Beaver","training","5","c(2, 2, 2)","furniture","fruits","clothes","socks","grapes","bed","grapes","grapes","item_m","fruits",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"167","distribution",6,"Beaver","training","6","c(2, 2, 2)","furniture","fruits","clothes","table","banana","shirt","shirt","shirt","item_r","clothes",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
"168","distribution",6,"Beaver","test","choice","c(2, 2, 2)","furniture","fruits","clothes","lamp","skirt","apple",NA,"lamp","item_l","furniture",NA,1,0,0,"clothes",0,"b694920e9cee57a5cb98d93d636ad626"
"169","distribution",1,"Tiger","training","1","c(6, 0, 0)","fruits","vehicles","furniture","melon","lamp","train","melon","melon","item_l","fruits",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"170","distribution",1,"Tiger","training","2","c(6, 0, 0)","fruits","vehicles","furniture","car","orange","drawer","orange","orange","item_m","fruits",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"171","distribution",1,"Tiger","training","3","c(6, 0, 0)","fruits","vehicles","furniture","stool","apple","boat","apple","apple","item_m","fruits",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"172","distribution",1,"Tiger","training","4","c(6, 0, 0)","fruits","vehicles","furniture","motorbike","closet","strawberry","strawberry","strawberry","item_r","fruits",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"173","distribution",1,"Tiger","training","5","c(6, 0, 0)","fruits","vehicles","furniture","bed","pineapple","bus","pineapple","pineapple","item_m","fruits",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"174","distribution",1,"Tiger","training","6","c(6, 0, 0)","fruits","vehicles","furniture","grapes","sofa","truck","grapes","grapes","item_l","fruits",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"175","distribution",1,"Tiger","test","choice","c(6, 0, 0)","fruits","vehicles","furniture","airplane","banana","table",NA,"banana","item_m","fruits",NA,1,0,0,"fruits",1,"14af7657ce944efcc6908999f7390823"
"176","distribution",2,"Pig","training","1","c(4, 2, 0)","vehicles","furniture","instruments","xylophone","car","drawer","car","car","item_m","vehicles",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"177","distribution",2,"Pig","training","2","c(4, 2, 0)","vehicles","furniture","instruments","piano","table","bus","table","table","item_m","furniture",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"178","distribution",2,"Pig","training","3","c(4, 2, 0)","vehicles","furniture","instruments","boat","drum","lamp","lamp","lamp","item_r","furniture",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"179","distribution",2,"Pig","training","4","c(4, 2, 0)","vehicles","furniture","instruments","sofa","guitar","truck","truck","truck","item_r","vehicles",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"180","distribution",2,"Pig","training","5","c(4, 2, 0)","vehicles","furniture","instruments","trumpet","stool","train","train","train","item_r","vehicles",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"181","distribution",2,"Pig","training","6","c(4, 2, 0)","vehicles","furniture","instruments","bed","airplane","flute","airplane","airplane","item_m","vehicles",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"182","distribution",2,"Pig","test","choice","c(4, 2, 0)","vehicles","furniture","instruments","violin","motorbike","chair",NA,"chair","item_r","furniture",NA,0,1,0,"vehicles",0,"14af7657ce944efcc6908999f7390823"
"183","distribution",3,"Frog","training","1","c(2, 2, 2)","furniture","instruments","mammals","stool","flute","cat","flute","flute","item_m","instruments",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"184","distribution",3,"Frog","training","2","c(2, 2, 2)","furniture","instruments","mammals","cow","lamp","guitar","cow","cow","item_l","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"185","distribution",3,"Frog","training","3","c(2, 2, 2)","furniture","instruments","mammals","horse","drum","table","drum","drum","item_m","instruments",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"186","distribution",3,"Frog","training","4","c(2, 2, 2)","furniture","instruments","mammals","closet","xylophone","monkey","closet","xylophone","item_m","instruments",0,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"187","distribution",3,"Frog","training","5","c(2, 2, 2)","furniture","instruments","mammals","bear","drawer","violin","drawer","drawer","item_m","furniture",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"188","distribution",3,"Frog","training","6","c(2, 2, 2)","furniture","instruments","mammals","elephant","sofa","piano","elephant","elephant","item_l","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"189","distribution",3,"Frog","test","choice","c(2, 2, 2)","furniture","instruments","mammals","bed","dog","trumpet",NA,"dog","item_m","mammals",NA,0,0,1,"mammals",1,"14af7657ce944efcc6908999f7390823"
"190","distribution",4,"Beaver","training","1","c(2, 2, 2)","instruments","mammals","clothes","dress","monkey","guitar","monkey","monkey","item_m","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"191","distribution",4,"Beaver","training","2","c(2, 2, 2)","instruments","mammals","clothes","horse","socks","trumpet","trumpet","trumpet","item_r","instruments",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"192","distribution",4,"Beaver","training","3","c(2, 2, 2)","instruments","mammals","clothes","cow","shirt","flute","shirt","shirt","item_m","clothes",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"193","distribution",4,"Beaver","training","4","c(2, 2, 2)","instruments","mammals","clothes","skirt","drum","cat","skirt","skirt","item_l","clothes",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"194","distribution",4,"Beaver","training","5","c(2, 2, 2)","instruments","mammals","clothes","elephant","pants","violin","violin","violin","item_r","instruments",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"195","distribution",4,"Beaver","training","6","c(2, 2, 2)","instruments","mammals","clothes","piano","shoes","dog","dog","dog","item_r","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"196","distribution",4,"Beaver","test","choice","c(2, 2, 2)","instruments","mammals","clothes","xylophone","jacket","bear",NA,"jacket","item_m","clothes",NA,0,0,1,"mammals",0,"14af7657ce944efcc6908999f7390823"
"197","distribution",5,"Bear","training","1","c(6, 0, 0)","mammals","clothes","fruits","grapes","cow","jacket","cow","cow","item_m","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"198","distribution",5,"Bear","training","2","c(6, 0, 0)","mammals","clothes","fruits","apple","elephant","dress","elephant","elephant","item_m","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"199","distribution",5,"Bear","training","3","c(6, 0, 0)","mammals","clothes","fruits","orange","shoes","cat","cat","cat","item_r","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"200","distribution",5,"Bear","training","4","c(6, 0, 0)","mammals","clothes","fruits","banana","bear","socks","bear","bear","item_m","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"201","distribution",5,"Bear","training","5","c(6, 0, 0)","mammals","clothes","fruits","horse","pineapple","skirt","horse","horse","item_l","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"202","distribution",5,"Bear","training","6","c(6, 0, 0)","mammals","clothes","fruits","dog","shirt","strawberry","dog","dog","item_l","mammals",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"203","distribution",5,"Bear","test","choice","c(6, 0, 0)","mammals","clothes","fruits","monkey","melon","pants",NA,"melon","item_m","fruits",NA,0,0,1,"mammals",0,"14af7657ce944efcc6908999f7390823"
"204","distribution",6,"Dog","training","1","c(4, 2, 0)","clothes","fruits","vehicles","apple","skirt","bus","apple","apple","item_l","fruits",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"205","distribution",6,"Dog","training","2","c(4, 2, 0)","clothes","fruits","vehicles","car","strawberry","jacket","jacket","jacket","item_r","clothes",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"206","distribution",6,"Dog","training","3","c(4, 2, 0)","clothes","fruits","vehicles","banana","socks","boat","socks","socks","item_m","clothes",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"207","distribution",6,"Dog","training","4","c(4, 2, 0)","clothes","fruits","vehicles","pants","truck","melon","pants","pants","item_l","clothes",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"208","distribution",6,"Dog","training","5","c(4, 2, 0)","clothes","fruits","vehicles","orange","shoes","motorbike","shoes","shoes","item_m","clothes",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"209","distribution",6,"Dog","training","6","c(4, 2, 0)","clothes","fruits","vehicles","airplane","dress","grapes","grapes","grapes","item_r","fruits",1,NA,NA,NA,NA,NA,"14af7657ce944efcc6908999f7390823"
"210","distribution",6,"Dog","test","choice","c(4, 2, 0)","clothes","fruits","vehicles","train","pineapple","shirt",NA,"pineapple","item_m","fruits",NA,0,1,0,"fruits",1,"14af7657ce944efcc6908999f7390823"
"211","distribution",1,"Frog","training","1","c(2, 2, 2)","furniture","mammals","instruments","sofa","elephant","trumpet","trumpet","trumpet","item_r","instruments",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"212","distribution",1,"Frog","training","2","c(2, 2, 2)","furniture","mammals","instruments","drawer","dog","guitar","dog","dog","item_m","mammals",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"213","distribution",1,"Frog","training","3","c(2, 2, 2)","furniture","mammals","instruments","cat","chair","violin","chair","chair","item_m","furniture",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"214","distribution",1,"Frog","training","4","c(2, 2, 2)","furniture","mammals","instruments","xylophone","lamp","cow","lamp","lamp","item_m","furniture",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"215","distribution",1,"Frog","training","5","c(2, 2, 2)","furniture","mammals","instruments","flute","stool","monkey","monkey","monkey","item_r","mammals",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"216","distribution",1,"Frog","training","6","c(2, 2, 2)","furniture","mammals","instruments","bear","piano","table","piano","piano","item_m","instruments",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"217","distribution",1,"Frog","test","choice","c(2, 2, 2)","furniture","mammals","instruments","drum","closet","horse",NA,"closet","item_m","furniture",NA,1,0,0,"instruments",0,"daccef3ac078c2c005b50e74a1d5dab6"
"218","distribution",2,"Tiger","training","1","c(6, 0, 0)","mammals","instruments","clothes","shirt","trumpet","cat","cat","cat","item_r","mammals",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"219","distribution",2,"Tiger","training","2","c(6, 0, 0)","mammals","instruments","clothes","dress","cow","guitar","cow","cow","item_m","mammals",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"220","distribution",2,"Tiger","training","3","c(6, 0, 0)","mammals","instruments","clothes","flute","elephant","jacket","elephant","elephant","item_m","mammals",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"221","distribution",2,"Tiger","training","4","c(6, 0, 0)","mammals","instruments","clothes","horse","socks","xylophone","horse","horse","item_l","mammals",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"222","distribution",2,"Tiger","training","5","c(6, 0, 0)","mammals","instruments","clothes","skirt","dog","piano","dog","dog","item_m","mammals",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"223","distribution",2,"Tiger","training","6","c(6, 0, 0)","mammals","instruments","clothes","violin","monkey","shoes","monkey","monkey","item_m","mammals",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"224","distribution",2,"Tiger","test","choice","c(6, 0, 0)","mammals","instruments","clothes","pants","drum","bear",NA,"drum","item_m","instruments",NA,0,1,0,"mammals",0,"daccef3ac078c2c005b50e74a1d5dab6"
"225","distribution",3,"Elephant","training","1","c(2, 2, 2)","instruments","clothes","vehicles","flute","truck","shoes","shoes","shoes","item_r","clothes",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"226","distribution",3,"Elephant","training","2","c(2, 2, 2)","instruments","clothes","vehicles","boat","skirt","xylophone","boat","boat","item_l","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"227","distribution",3,"Elephant","training","3","c(2, 2, 2)","instruments","clothes","vehicles","socks","piano","train","piano","piano","item_m","instruments",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"228","distribution",3,"Elephant","training","4","c(2, 2, 2)","instruments","clothes","vehicles","dress","airplane","drum","dress","dress","item_l","clothes",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"229","distribution",3,"Elephant","training","5","c(2, 2, 2)","instruments","clothes","vehicles","bus","jacket","violin","violin","violin","item_r","instruments",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"230","distribution",3,"Elephant","training","6","c(2, 2, 2)","instruments","clothes","vehicles","motorbike","guitar","pants","motorbike","motorbike","item_l","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"231","distribution",3,"Elephant","test","choice","c(2, 2, 2)","instruments","clothes","vehicles","car","trumpet","shirt",NA,"trumpet","item_m","instruments",NA,1,0,0,"vehicles",0,"daccef3ac078c2c005b50e74a1d5dab6"
"232","distribution",4,"Bear","training","1","c(4, 2, 0)","clothes","vehicles","fruits","socks","bus","strawberry","bus","bus","item_m","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"233","distribution",4,"Bear","training","2","c(4, 2, 0)","clothes","vehicles","fruits","airplane","pineapple","skirt","skirt","skirt","item_r","clothes",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"234","distribution",4,"Bear","training","3","c(4, 2, 0)","clothes","vehicles","fruits","dress","grapes","car","dress","dress","item_l","clothes",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"235","distribution",4,"Bear","training","4","c(4, 2, 0)","clothes","vehicles","fruits","orange","motorbike","shirt","shirt","shirt","item_r","clothes",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"236","distribution",4,"Bear","training","5","c(4, 2, 0)","clothes","vehicles","fruits","shoes","melon","boat","shoes","shoes","item_l","clothes",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"237","distribution",4,"Bear","training","6","c(4, 2, 0)","clothes","vehicles","fruits","pants","banana","truck","truck","truck","item_r","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"238","distribution",4,"Bear","test","choice","c(4, 2, 0)","clothes","vehicles","fruits","jacket","apple","train",NA,"jacket","item_l","clothes",NA,1,0,0,"vehicles",0,"daccef3ac078c2c005b50e74a1d5dab6"
"239","distribution",5,"Dog","training","1","c(6, 0, 0)","vehicles","fruits","furniture","orange","bed","boat","boat","boat","item_r","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"240","distribution",5,"Dog","training","2","c(6, 0, 0)","vehicles","fruits","furniture","stool","pineapple","train","train","train","item_r","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"241","distribution",5,"Dog","training","3","c(6, 0, 0)","vehicles","fruits","furniture","strawberry","sofa","bus","bus","bus","item_r","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"242","distribution",5,"Dog","training","4","c(6, 0, 0)","vehicles","fruits","furniture","banana","airplane","table","airplane","airplane","item_m","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"243","distribution",5,"Dog","training","5","c(6, 0, 0)","vehicles","fruits","furniture","drawer","apple","motorbike","motorbike","motorbike","item_r","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"244","distribution",5,"Dog","training","6","c(6, 0, 0)","vehicles","fruits","furniture","melon","car","chair","car","car","item_m","vehicles",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"245","distribution",5,"Dog","test","choice","c(6, 0, 0)","vehicles","fruits","furniture","grapes","truck","closet",NA,"truck","item_m","vehicles",NA,1,0,0,"vehicles",1,"daccef3ac078c2c005b50e74a1d5dab6"
"246","distribution",6,"Beaver","training","1","c(4, 2, 0)","fruits","furniture","mammals","elephant","melon","drawer","melon","melon","item_m","fruits",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"247","distribution",6,"Beaver","training","2","c(4, 2, 0)","fruits","furniture","mammals","dog","bed","pineapple","pineapple","pineapple","item_r","fruits",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"248","distribution",6,"Beaver","training","3","c(4, 2, 0)","fruits","furniture","mammals","sofa","monkey","banana","banana","banana","item_r","fruits",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"249","distribution",6,"Beaver","training","4","c(4, 2, 0)","fruits","furniture","mammals","grapes","closet","bear","grapes","grapes","item_l","fruits",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"250","distribution",6,"Beaver","training","5","c(4, 2, 0)","fruits","furniture","mammals","cow","chair","orange","chair","chair","item_m","furniture",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"251","distribution",6,"Beaver","training","6","c(4, 2, 0)","fruits","furniture","mammals","strawberry","table","horse","table","table","item_m","furniture",1,NA,NA,NA,NA,NA,"daccef3ac078c2c005b50e74a1d5dab6"
"252","distribution",6,"Beaver","test","choice","c(4, 2, 0)","fruits","furniture","mammals","cat","apple","lamp",NA,"apple","item_m","fruits",NA,1,0,0,"furniture",0,"daccef3ac078c2c005b50e74a1d5dab6"
"253","distribution",1,"Bear","training","1","c(6, 0, 0)","vehicles","clothes","mammals","motorbike","elephant","jacket","motorbike","motorbike","item_l","vehicles",1,NA,NA,NA,NA,NA,"3c01ca60c834179e5d50128bbd42da30"
"254","distribution",1,"Bear","training","2","c(6, 0, 0)","vehicles","clothes","mammals","pants","cow","train","train","train","item_r","vehicles",1,NA,NA,NA,NA,NA,"3c01ca60c834179e5d50128bbd42da30"
"255","distribution",1,"Bear","training","3","c(6, 0, 0)","vehicles","clothes","mammals","bus","shoes","cat","bus","bus","item_l","vehicles",1,NA,NA,NA,NA,NA,"3c01ca60c834179e5d50128bbd42da30"
"256","distribution",1,"Bear","training","4","c(6, 0, 0)","vehicles","clothes","mammals","monkey","shirt","truck","truck","truck","item_r","vehicles",1,NA,NA,NA,NA,NA,"3c01ca60c834179e5d50128bbd42da30"
